model,noise_level,test_accuracy,test_precision,test_recall,test_f1
Perceptron,0.05,0.7833333333333333,0.9444444444444444,0.5862068965517241,0.723404255319149
PocketPerceptron,0.05,0.9416666666666667,0.9636363636363636,0.9137931034482759,0.9380530973451328
AveragedPerceptron,0.05,0.9416666666666667,0.9636363636363636,0.9137931034482759,0.9380530973451328
MarginPerceptron,0.05,0.8416666666666667,0.9534883720930233,0.7068965517241379,0.8118811881188119
Perceptron,0.1,0.5333333333333333,0.0,0.0,0.0
PocketPerceptron,0.1,0.8416666666666667,0.8135593220338984,0.8571428571428571,0.8347826086956521
AveragedPerceptron,0.1,0.8583333333333333,0.8545454545454545,0.8392857142857143,0.8468468468468469
MarginPerceptron,0.1,0.6333333333333333,0.9285714285714286,0.23214285714285715,0.37142857142857144
Perceptron,0.15,0.8,0.7580645161290323,0.8392857142857143,0.7966101694915254
PocketPerceptron,0.15,0.8416666666666667,0.8245614035087719,0.8392857142857143,0.831858407079646
AveragedPerceptron,0.15,0.825,0.7966101694915254,0.8392857142857143,0.8173913043478261
MarginPerceptron,0.15,0.7,0.6219512195121951,0.9107142857142857,0.7391304347826086
Perceptron,0.2,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364
PocketPerceptron,0.2,0.8,0.7424242424242424,0.875,0.8032786885245902
AveragedPerceptron,0.2,0.7916666666666666,0.746031746031746,0.8392857142857143,0.7899159663865546
MarginPerceptron,0.2,0.6416666666666667,0.5714285714285714,0.9285714285714286,0.7074829931972789
